,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,response
125,2.462,0.223,1.669,0.0,0.0,0.408,1.524
126,1.778,0.223,1.203,0.0,0.0,,3.048
127,3.609,,1.189,0.0,0.0,,5.115
128,3.3160000000000003,0.223,1.571,,1.0,1.795,2.8560000000000003
129,2.0,0.693,1.128,2.0,2.0,,4.3660000000000005
130,4.171,0.693,1.6780000000000002,0.0,,2.849,
131,3.3160000000000003,0.223,1.571,0.0,1.0,1.795,2.94
132,3.4410000000000003,0.0,,,0.0,,4.538
133,2.4290000000000003,0.83,1.696,0.0,0.0,,3.391
134,3.143,0.134,1.641,0.0,0.0,1.209,2.692
135,2.802,0.223,1.6,1.0,0.0,1.064,3.825
136,2.126,0.405,,,0.0,-0.226,3.2060000000000004
137,2.709,0.331,2.072,0.0,0.0,,1.78
138,2.701,0.405,2.003,0.0,0.0,-0.081,0.5329999999999999
139,3.252,0.0,,0.0,0.0,,3.299
140,2.111,0.134,1.253,0.0,0.0,,2.914
141,2.085,0.56,,0.0,0.0,,
142,3.361,,1.4369999999999998,1.0,2.0,,
143,3.52,0.223,1.5619999999999998,0.0,1.0,2.129,3.446
144,3.014,0.56,1.987,0.0,,0.5379999999999999,3.4960000000000004
145,,0.604,1.52,,0.0,3.1260000000000003,4.68
146,,0.134,1.614,0.0,,1.587,3.252
147,3.277,0.223,1.633,0.0,0.0,1.587,
148,2.507,0.405,1.5,2.0,0.0,0.076,3.936
149,3.277,0.486,1.416,0.0,0.0,2.604,5.47
150,2.67,0.496,2.047,0.0,0.0,-0.917,1.842
151,2.704,0.56,,0.0,,-0.917,0.15
152,3.277,,1.3430000000000002,0.0,0.0,2.604,3.736
153,3.5660000000000003,0.134,1.595,0.0,0.0,1.94,3.719
154,2.594,,1.287,0.0,0.0,,
155,3.485,0.223,1.614,0.0,0.0,,3.507
156,3.3160000000000003,0.223,1.571,,0.0,1.795,3.979
157,,0.604,1.515,0.0,,4.673,5.363
158,3.74,0.134,1.581,0.0,0.0,3.1860000000000004,4.396
159,,0.223,,0.0,0.0,,3.984
160,3.199,0.56,2.033,0.0,0.0,-0.129,1.02
161,,,2.137,0.0,,1.466,2.9730000000000003
162,3.641,,1.531,0.0,1.0,,3.182
163,4.005,0.223,1.545,,,3.953,
164,3.896,0.134,1.571,0.0,0.0,3.503,4.822
165,3.201,0.693,,0.0,0.0,,
166,3.98,0.223,1.578,0.0,0.0,3.806,4.819
167,4.114,0.223,,0.0,,4.098,5.2189999999999985
168,4.237,0.223,1.565,,0.0,4.379,5.268
169,,,1.4580000000000002,2.0,1.0,,3.139
170,2.456,0.331,1.259,0.0,1.0,0.496,2.858
171,,0.764,1.165,0.0,1.0,2.619,4.191
172,,0.223,1.281,,0.0,2.813,4.416
173,2.641,,1.077,0.0,1.0,,3.537
174,3.38,0.638,1.506,0.0,,1.57,4.38
175,2.544,0.223,1.245,0.0,0.0,1.064,1.408
176,1.279,1.16,1.714,0.0,0.0,1.209,2.9360000000000004
177,2.572,1.834,1.35,0.0,2.0,3.115,8.471
178,3.222,1.501,0.872,0.0,0.0,5.149,
179,3.728,0.956,1.17,0.0,0.0,4.789,5.574
180,3.358,1.348,1.328,0.0,0.0,,3.852
181,2.96,,1.53,1.0,1.0,0.787,5.244
182,4.81,,1.42,0.0,2.0,,2.548
183,3.3110000000000004,,,0.0,1.0,3.4610000000000003,5.276
184,3.023,0.56,1.168,,,2.294,3.924
185,2.585,1.586,0.917,0.0,0.0,,6.379
186,1.925,1.318,0.595,0.0,0.0,3.764,4.705
187,2.454,1.075,0.951,0.0,0.0,2.359,4.96
188,2.508,0.58,0.941,0.0,0.0,1.7009999999999998,3.766
189,2.222,0.711,,0.0,0.0,0.828,3.641
190,3.389,,0.8490000000000001,0.0,,3.587,4.1080000000000005
191,2.031,0.8909999999999999,,0.0,0.0,2.9560000000000004,4.42
192,1.965,1.408,0.7090000000000001,0.0,0.0,2.736,
193,3.3510000000000004,0.496,1.466,0.0,0.0,1.097,2.392
194,3.452,0.331,1.476,1.0,0.0,2.402,3.87
195,4.288,0.865,1.327,0.0,,4.295,5.642
196,2.359,,0.8140000000000001,0.0,0.0,0.893,4.287
197,2.085,1.079,,,0.0,4.063,4.79
198,1.962,0.934,0.8190000000000001,0.0,0.0,2.729,4.296
199,,0.947,,0.0,1.0,1.976,6.607
200,2.377,0.8270000000000001,0.938,0.0,,2.239,3.759
201,3.023,0.56,1.168,1.0,0.0,1.239,3.278
202,,0.56,1.127,,0.0,0.922,3.1180000000000003
203,2.218,0.923,1.074,0.0,0.0,0.29100000000000004,3.237
204,3.103,,1.521,0.0,,2.193,3.267
205,1.822,0.8290000000000001,0.8340000000000001,,0.0,2.509,3.933
206,3.459,1.47,1.483,0.0,2.0,,4.4860000000000015
207,2.442,1.211,2.254,0.0,0.0,1.401,4.305
208,1.945,0.889,0.835,0.0,0.0,1.969,3.927
209,3.315,0.223,1.1,1.0,0.0,2.7230000000000003,4.35
210,2.8680000000000003,1.286,,0.0,0.0,1.919,4.809
211,,0.8590000000000001,2.162,0.0,0.0,2.273,4.499
212,3.378,0.134,,0.0,0.0,,4.65
213,2.9610000000000003,0.405,1.189,,0.0,,2.604
214,,0.223,1.5619999999999998,1.0,0.0,,3.629
215,3.012,0.223,1.023,0.0,0.0,2.193,4.07
216,2.778,0.405,1.17,1.0,0.0,1.49,2.93
217,3.08,0.223,1.5830000000000002,1.0,0.0,1.442,
218,3.281,0.693,1.808,0.0,2.0,1.121,3.095
219,,0.405,0.8140000000000001,0.0,0.0,0.893,6.4
220,,0.223,1.6669999999999998,1.0,0.0,0.202,2.65
221,,0.405,,0.0,2.0,0.076,2.8510000000000004
222,3.462,,,0.0,1.0,,4.208
223,,,,1.0,0.0,0.655,3.654
224,,,1.787,0.0,1.0,1.3730000000000002,
225,2.4290000000000003,0.405,1.954,0.0,0.0,,0.931
226,2.8360000000000003,0.693,1.43,0.0,2.0,0.434,3.178
227,4.285,0.134,1.551,0.0,0.0,4.379,6.255
228,2.5340000000000003,0.872,1.619,,0.0,-1.186,2.732
229,4.077,0.956,1.909,0.0,,3.234,4.448
230,3.137,0.405,1.3119999999999998,0.0,2.0,0.7490000000000001,1.086
231,2.0340000000000003,0.64,,0.0,0.0,0.8,2.5860000000000003
232,2.0340000000000003,0.331,1.56,0.0,1.0,0.133,2.117
233,1.6669999999999998,1.278,,,2.0,2.459,
234,2.283,1.07,1.223,0.0,0.0,1.112,4.2780000000000005
235,3.164,0.223,0.909,0.0,,2.455,3.112
236,3.03,1.821,1.027,0.0,2.0,5.4689999999999985,6.897
237,,0.872,,0.0,1.0,0.202,6.424
238,4.216,0.223,1.248,0.0,0.0,4.177,5.78
239,,0.923,1.179,0.0,1.0,0.982,1.05
240,,0.56,1.6369999999999998,0.0,1.0,3.048,3.926
241,,1.38,1.264,0.0,0.0,1.971,6.284
242,,0.693,1.3159999999999998,,2.0,2.005,3.451
243,3.393,1.2919999999999998,2.122,0.0,,1.595,3.477
244,,0.223,0.847,0.0,0.0,,4.967
245,,1.462,0.83,0.0,0.0,5.206,5.985
246,2.47,,1.346,2.0,2.0,1.821,6.351
247,2.164,,1.227,,2.0,2.573,6.207000000000002
248,3.247,0.638,0.889,0.0,1.0,2.922,4.68
249,4.255,1.695,1.087,0.0,0.0,2.294,4.475
250,3.629,,1.4780000000000002,0.0,1.0,2.821,3.24
251,3.08,0.8270000000000001,1.079,2.0,0.0,1.155,5.478
252,3.012,0.223,0.76,0.0,0.0,2.637,4.62
253,2.374,,,0.0,1.0,3.818,5.048
254,2.855,1.331,,0.0,,0.454,
255,2.024,0.405,,0.0,1.0,0.133,
256,3.739,0.0,1.25,1.0,2.0,3.267,
257,3.426,0.693,1.4880000000000002,0.0,1.0,1.294,3.025
258,2.878,0.134,1.6840000000000002,0.0,,0.8,2.425
259,4.785,1.263,1.471,1.0,,2.749,9.612
260,3.286,0.35700000000000004,2.104,,0.0,-0.521,1.771
261,2.507,0.405,1.652,1.0,1.0,0.888,4.603
262,2.857,0.973,1.838,,2.0,1.121,5.311
263,3.924,,1.707,0.0,2.0,2.314,4.713
264,3.6010000000000004,0.223,1.35,3.0,2.0,2.545,4.32
265,3.634,0.693,1.747,,2.0,,4.051
266,1.968,0.331,1.891,0.0,,-1.053,1.47
267,,,1.927,0.0,1.0,0.586,2.583
268,3.029,0.331,1.847,0.0,0.0,0.314,2.474
269,3.605,0.0,1.15,0.0,0.0,3.562,4.51
270,2.024,0.83,1.761,0.0,0.0,2.226,3.007
271,3.026,0.405,1.548,0.0,,1.3730000000000002,2.84
272,3.462,,1.717,0.0,1.0,2.06,4.557
273,3.669,0.223,1.778,0.0,0.0,2.274,3.604
274,,1.275,0.913,0.0,1.0,3.574,6.564
275,3.832,,1.587,,0.0,3.503,4.41
276,,0.134,1.71,0.0,0.0,,5.38
277,3.164,2.044,0.83,0.0,1.0,4.912,6.113
278,3.332,0.134,1.294,,0.0,2.242,
279,2.344,0.5820000000000001,1.59,0.0,0.0,1.467,
280,3.353,0.8540000000000001,,,0.0,1.297,
281,2.9930000000000003,0.8109999999999999,1.232,0.0,2.0,-0.059,
282,,,0.975,0.0,,2.715,4.109
283,3.111,0.331,1.011,0.0,1.0,2.042,3.25
284,2.777,0.56,1.127,1.0,0.0,,4.767
285,3.188,,1.244,0.0,1.0,1.845,
286,3.134,0.223,1.319,0.0,0.0,1.795,2.739
287,3.514,0.134,1.07,1.0,0.0,,7.809
288,3.4360000000000004,0.331,0.951,0.0,0.0,2.786,4.338
289,2.217,,0.875,0.0,,1.769,4.182
290,3.219,0.405,1.605,0.0,0.0,0.706,1.134
291,,0.223,1.155,0.0,0.0,3.105,5.178
292,2.685,0.405,1.145,0.0,0.0,1.246,3.219
293,2.685,0.405,1.145,0.0,0.0,1.246,3.11
294,2.9610000000000003,0.405,1.388,0.0,0.0,1.58,
295,3.52,0.223,,0.0,0.0,1.882,2.883
296,4.029,0.965,1.729,0.0,0.0,4.038,4.4510000000000005
297,1.883,,,0.0,0.0,0.602,2.924
298,3.432,0.638,,0.0,1.0,1.459,5.339
299,3.369,0.134,1.614,0.0,0.0,1.587,2.226
300,3.323,,1.134,0.0,,4.207,
301,3.73,0.8290000000000001,1.5619999999999998,0.0,1.0,3.182,4.732
302,1.831,1.182,1.901,0.0,2.0,0.158,1.234
303,4.141,0.134,1.22,,0.0,4.833,6.233
304,3.035,0.223,1.941,0.0,0.0,,2.107
305,3.4610000000000003,0.223,1.12,,0.0,2.813,4.47
306,3.867,,1.4,2.0,0.0,3.659,
307,1.713,1.098,1.7519999999999998,0.0,0.0,-0.297,
308,,0.88,1.54,0.0,,0.057,4.92
309,1.634,0.713,1.19,0.0,0.0,,2.782
310,,0.429,0.88,0.0,0.0,2.679,5.229
311,1.886,1.153,,0.0,0.0,2.938,4.737
312,1.886,1.115,0.653,0.0,0.0,2.6460000000000004,4.342
313,3.684,,1.072,,1.0,,7.691
314,4.461,,1.139,0.0,,4.548,4.727
315,,0.223,0.96,1.0,0.0,2.42,3.979
316,3.822,0.0,1.125,1.0,0.0,4.044,5.51
317,3.113,1.5930000000000002,1.319,1.0,1.0,4.038,6.143
318,2.565,0.452,1.529,0.0,0.0,0.242,2.115
319,2.217,,0.7929999999999999,1.0,0.0,2.4290000000000003,5.189
320,2.95,1.7719999999999998,1.351,0.0,4.0,3.11,5.382999999999999
321,3.402,0.496,1.45,1.0,0.0,2.345,4.557
322,3.618,0.8420000000000001,1.686,0.0,2.0,1.661,
323,3.613,1.336,0.8390000000000001,0.0,0.0,2.459,4.886
324,3.739,0.0,,0.0,1.0,3.374,5.434
325,2.251,1.501,1.197,,0.0,4.19,5.6320000000000014
326,2.454,1.075,0.951,0.0,0.0,2.359,6.317
327,2.216,0.5820000000000001,1.287,0.0,0.0,,2.74
328,3.323,1.232,1.134,0.0,0.0,4.207,6.525
329,2.126,0.83,1.455,0.0,1.0,2.459,
330,1.886,0.988,0.764,0.0,0.0,2.343,3.889
331,3.175,0.8590000000000001,,0.0,0.0,2.59,4.095
332,3.641,,1.481,0.0,1.0,3.16,5.052
333,2.019,1.317,1.288,0.0,0.0,2.689,4.368
334,3.709,,,0.0,1.0,3.909,5.568
335,2.479,0.887,0.954,0.0,0.0,1.7480000000000002,4.458
336,3.559,,1.36,0.0,0.0,2.446,3.458
337,4.05,0.693,1.381,0.0,2.0,3.618,5.667000000000002
338,3.24,0.56,0.889,,,2.214,4.544
339,4.829,0.331,1.521,,4.0,4.57,6.347
340,2.079,0.988,,0.0,1.0,2.481,
341,4.037,,1.5630000000000002,,0.0,3.806,5.18
342,2.137,0.223,1.179,0.0,0.0,0.655,3.779
343,3.4210000000000003,,,0.0,1.0,1.57,5.029
344,1.279,1.327,1.284,0.0,0.0,2.2,4.697
345,3.252,0.499,0.8320000000000001,0.0,0.0,4.416,4.674
346,3.252,0.499,,0.0,0.0,4.416,4.384
347,3.739,0.0,0.7,0.0,0.0,4.76,7.346
348,2.591,0.331,1.629,0.0,,0.8740000000000001,2.395
349,2.1180000000000003,0.956,1.643,0.0,0.0,-2.03,3.638
350,3.274,1.214,1.011,,0.0,3.3110000000000004,6.54
351,,0.223,,0.0,0.0,1.064,3.38
352,2.08,0.764,0.7879999999999999,0.0,0.0,1.514,4.961
353,2.8,0.693,1.091,0.0,1.0,1.4369999999999998,
354,3.9,0.429,1.5719999999999998,0.0,1.0,2.297,3.842
355,3.177,0.918,,,0.0,2.031,4.1160000000000005
356,2.111,1.477,1.298,0.0,0.0,3.225,5.73
357,3.609,0.8109999999999999,1.208,0.0,0.0,3.2910000000000004,4.38
358,3.261,0.331,,0.0,1.0,0.915,4.182
359,3.38,0.7020000000000001,,0.0,1.0,1.579,
360,,0.88,1.4880000000000002,0.0,0.0,1.182,
361,2.442,0.934,,0.0,,3.259,4.208
362,,0.134,1.476,0.0,0.0,3.358,4.305
363,4.535,0.56,1.137,1.0,2.0,4.332,8.571
364,3.756,0.0,0.964,0.0,0.0,4.23,4.425
365,,0.7979999999999999,0.79,0.0,1.0,2.056,3.3280000000000003
366,3.159,,,0.0,2.0,1.121,3.77
367,2.862,,1.828,0.0,3.0,-0.463,4.512
368,4.121,0.8290000000000001,1.551,0.0,,3.913,
369,,0.907,,0.0,,3.0460000000000003,
370,3.69,0.223,1.062,0.0,0.0,2.7260000000000004,3.599
371,,0.56,,0.0,2.0,1.117,3.757
372,3.465,2.171,0.888,0.0,0.0,6.515,3.623
373,3.252,0.223,1.077,,,,4.22
374,,0.134,1.482,0.0,0.0,4.234,5.63
375,2.7260000000000004,0.496,1.108,0.0,1.0,1.06,3.1
376,,0.988,0.836,0.0,1.0,2.481,3.298
377,3.867,0.134,1.1740000000000002,0.0,0.0,3.386,4.064
378,3.33,0.56,1.555,,2.0,1.042,3.691
379,2.3040000000000003,1.028,1.124,0.0,0.0,2.4330000000000003,4.635
380,,,1.073,0.0,2.0,1.746,5.472
381,3.323,0.405,1.17,0.0,2.0,2.592,
382,3.5010000000000003,0.405,1.585,1.0,1.0,2.27,
383,2.594,0.251,,0.0,0.0,1.68,3.112
384,3.38,0.8740000000000001,0.903,0.0,1.0,3.184,5.278
385,3.332,0.134,0.909,0.0,0.0,,
386,3.5780000000000003,0.496,1.406,0.0,1.0,,4.32
387,2.857,1.421,2.282,0.0,,2.357,4.295
388,,0.223,0.939,0.0,0.0,1.834,
389,2.8360000000000003,1.86,,0.0,2.0,4.452,8.207
390,3.179,0.0,0.805,0.0,0.0,2.994,4.154
391,3.588,0.251,1.506,0.0,0.0,1.564,
392,3.026,0.251,2.164,,0.0,0.314,1.812
393,3.739,0.0,1.161,0.0,0.0,,
394,,0.331,,0.0,0.0,0.652,2.9610000000000003
395,1.844,1.275,0.804,0.0,0.0,3.109,6.72
396,4.395,0.134,1.546,0.0,0.0,4.651,6.484
397,,0.713,0.797,0.0,1.0,4.017,5.039
398,2.417,1.028,1.162,0.0,1.0,3.19,4.169
399,3.055,1.273,,0.0,0.0,2.931,5.393
400,2.624,1.621,1.5019999999999998,0.0,0.0,3.213,6.314
401,3.4360000000000004,1.225,1.839,0.0,0.0,2.0540000000000003,5.087
402,2.423,0.949,,0.0,0.0,,2.44
403,2.548,0.947,1.051,1.0,,1.66,3.588
404,2.647,,1.278,0.0,0.0,,
405,3.196,1.38,1.234,0.0,0.0,1.321,6.018
406,3.378,1.38,1.25,,0.0,1.654,4.854
407,2.396,,1.351,0.0,,3.32,6.023
408,1.983,1.714,2.105,0.0,,,5.062
409,4.086,0.452,1.843,0.0,0.0,0.37,3.463
410,3.353,0.405,1.418,1.0,1.0,1.878,5.018
411,3.174,,0.91,2.0,2.0,5.3610000000000015,
412,3.567,0.711,1.501,1.0,3.0,1.759,4.043
413,,,1.685,0.0,1.0,1.851,
414,3.81,1.025,1.055,0.0,2.0,0.215,3.838
415,3.3110000000000004,0.972,2.208,0.0,3.0,-0.165,4.244
416,0.667,1.03,0.906,0.0,0.0,1.064,5.558
417,,1.306,1.404,0.0,1.0,,4.239
418,2.862,1.54,1.226,0.0,0.0,3.896,6.171
419,2.1830000000000003,0.93,0.846,0.0,0.0,1.395,4.739
420,2.74,1.04,1.6030000000000002,0.0,1.0,2.6460000000000004,4.215
421,3.0010000000000003,0.6509999999999999,0.7809999999999999,0.0,0.0,4.203,
422,3.378,1.38,1.25,0.0,0.0,1.654,5.933
423,,1.182,1.624,0.0,0.0,2.4330000000000003,4.811
424,4.311,1.496,,0.0,0.0,3.522,5.19
425,3.587,0.675,2.108,0.0,0.0,,
426,2.893,1.236,,,0.0,3.842,
427,3.898,0.887,1.45,0.0,0.0,4.066,5.999
428,3.675,1.7180000000000002,1.248,0.0,0.0,3.167,4.136
429,2.817,1.012,1.521,0.0,3.0,-1.169,2.069
430,3.937,0.762,1.7080000000000002,0.0,0.0,1.145,3.297
431,,1.028,0.762,,0.0,,5.303
432,2.819,0.732,1.483,0.0,0.0,,2.9410000000000003
433,2.019,1.317,0.77,0.0,,3.617,5.93
434,1.822,0.6809999999999999,0.794,0.0,0.0,2.335,3.696
435,2.928,1.131,0.908,0.0,2.0,3.508,5.86
436,2.479,0.887,,,,1.7480000000000002,4.119
437,3.793,,0.93,,0.0,4.0539999999999985,6.0379999999999985
438,3.38,1.749,1.135,0.0,1.0,3.305,4.9510000000000005
439,4.181,0.57,1.383,0.0,0.0,4.379,6.212999999999999
440,2.297,0.762,0.7979999999999999,,0.0,2.841,3.555
441,2.206,,1.36,0.0,0.0,2.371,4.739
442,3.407,1.548,1.653,0.0,0.0,,6.257999999999999
443,1.844,1.275,0.804,,0.0,3.109,6.784
444,2.216,0.389,,,0.0,1.953,3.751
445,4.372,0.134,1.254,0.0,0.0,,6.569
446,,1.079,0.825,0.0,0.0,5.472,6.8820000000000014
447,1.786,0.7020000000000001,1.081,0.0,0.0,-1.265,8.132
448,1.883,0.916,1.207,0.0,1.0,1.188,
449,2.11,0.773,0.773,0.0,1.0,2.57,3.36
450,1.975,0.802,0.775,1.0,,2.799,4.227
451,,0.223,0.802,0.0,0.0,3.571,4.269
452,2.309,0.907,0.871,0.0,,3.0460000000000003,3.782
453,3.3160000000000003,,1.571,1.0,0.0,1.795,3.854
454,4.223,0.638,1.117,0.0,1.0,3.557,8.169
455,3.333,,0.963,1.0,0.0,2.974,
456,3.749,0.331,1.278,,,2.773,4.777
457,3.3510000000000004,0.797,2.456,2.0,0.0,-0.197,
458,3.0980000000000003,0.93,1.075,0.0,0.0,2.702,
459,3.734,0.223,1.374,0.0,0.0,3.661,5.159
460,3.073,1.493,,,0.0,3.737,6.645
461,3.249,2.071,1.327,0.0,,3.948,6.4460000000000015
462,2.137,0.223,1.375,3.0,0.0,0.5479999999999999,4.865
463,,0.58,,2.0,1.0,3.062,5.066
464,2.375,1.026,1.09,0.0,1.0,,3.895
465,1.634,0.713,1.19,,0.0,1.3130000000000002,2.056
466,2.309,0.762,0.845,1.0,0.0,1.091,
467,3.219,0.8109999999999999,1.127,0.0,0.0,2.604,4.257
468,,1.5119999999999998,1.046,0.0,2.0,2.11,5.002
469,2.24,0.405,1.203,,0.0,-0.316,2.286
470,2.233,0.46,,1.0,0.0,2.206,4.96
471,3.24,0.693,1.487,1.0,0.0,,3.5980000000000003
472,2.297,0.762,0.7979999999999999,0.0,0.0,2.841,3.608
473,2.374,0.8109999999999999,0.8170000000000001,,0.0,2.841,5.277
